product_id,name,category,subcategory,brand,price,original_price,rating,reviews_count,stock,description,image_url,features
P001,"Samsung 55"" 4K Smart TV",Electronics,Televisions,Samsung,45999,65999,4.5,1245,45,55-inch 4K UHD Smart LED TV with HDR and Built-in Alexa,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,4K UHD|Smart TV|HDR|Alexa Built-in|3 HDMI Ports
P002,LG 260L Frost Free Refrigerator,Appliances,Refrigerators,LG,23990,31990,4.3,856,28,Double Door Refrigerator with Smart Inverter Compressor,https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=400,260L Capacity|Frost Free|Smart Inverter|Energy Star
P003,Whirlpool 7.5 Kg Washing Machine,Appliances,Washing Machines,Whirlpool,18499,24999,4.4,632,35,Fully Automatic Top Load with Hard Water Wash,https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?w=400,7.5 Kg|Top Load|Hard Water Wash|Auto Restart
P004,Sony Noise Cancelling Headphones,Electronics,Audio,Sony,24990,29990,4.6,2134,120,WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400,Active Noise Cancellation|30Hr Battery|Touch Controls|Premium Sound
P005,Apple iPhone 14 Pro,Electronics,Smartphones,Apple,129900,139900,4.7,3421,65,256GB Deep Purple with A16 Bionic Chip,https://images.unsplash.com/photo-1678652197142-d0e7ad93d19d?w=400,A16 Bionic|256GB Storage|Pro Camera System|Dynamic Island
P006,Instant Pot Duo 7-in-1,Appliances,Kitchen,Instant Pot,8999,12999,4.5,1876,90,Electric Pressure Cooker 6L with Multiple Functions,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400,7-in-1 Functions|6L Capacity|Stainless Steel|Smart Programs
P007,Dyson V11 Vacuum Cleaner,Appliances,Vacuum Cleaners,Dyson,49900,59900,4.6,945,42,Cordless Vacuum with Intelligent Cleaning Mode,https://images.unsplash.com/photo-1558317374-067fb86c6f7e?w=400,Cordless|60min Runtime|HEPA Filter|LCD Screen
P008,Dell XPS 15 Laptop,Electronics,Laptops,Dell,145900,165900,4.5,1234,28,"15.6"" FHD i7 11th Gen 16GB RAM 512GB SSD",https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=400,Intel i7|16GB RAM|512GB SSD|NVIDIA GTX 1650|FHD Display
P009,Philips Air Fryer XXL,Appliances,Kitchen,Philips,16999,22999,4.4,2341,75,Digital Air Fryer 1.4kg with Rapid Air Technology,https://images.unsplash.com/photo-1585937421612-70e516a76e4e?w=400,1.4kg Capacity|Digital Touch|Dishwasher Safe|7 Presets
P010,Canon EOS R6 Camera,Electronics,Cameras,Canon,209900,239900,4.8,876,18,Mirrorless Camera with 24-105mm Lens Kit,https://images.unsplash.com/photo-1606980645935-22a57f8d36ce?w=400,20.1MP|4K Video|In-Body Stabilization|Dual Card Slots
P011,Breville Barista Express,Appliances,Coffee Makers,Breville,52990,64990,4.7,1567,32,Espresso Machine with Built-in Grinder,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?w=400,Built-in Grinder|15 Bar Pressure|Milk Frother|PID Temperature
P012,"iPad Pro 12.9"" M2 Chip",Electronics,Tablets,Apple,109900,119900,4.7,2145,55,256GB Space Gray with Liquid Retina XDR Display,https://images.unsplash.com/photo-1585790152764-0e155d6e1134?w=400,"M2 Chip|12.9"" XDR Display|256GB|5G|Face ID"
P013,Nest Learning Thermostat,Smart Home,Climate Control,Google Nest,21990,26990,4.4,756,68,Smart WiFi Thermostat with Auto-Schedule,https://images.unsplash.com/photo-1558089687-18d3f697518c?w=400,Auto-Schedule|Energy Saving|Remote Control|Works with Alexa
P014,KitchenAid Stand Mixer,Appliances,Kitchen,KitchenAid,34990,44990,4.8,3245,48,5-Quart Tilt-Head Stand Mixer with 10 Speeds,https://images.unsplash.com/photo-1578643463396-0997cb5328c1?w=400,5 Quart Bowl|10 Speeds|Multiple Attachments|Tilt-Head Design
P015,Ring Video Doorbell Pro 2,Smart Home,Security,Ring,16999,21999,4.3,1432,95,Smart Doorbell with HD Video and 3D Motion Detection,https://images.unsplash.com/photo-1558002038-1055907df827?w=400,HD Video|3D Motion|Night Vision|Works with Alexa|Two-Way Talk
P016,Bose SoundLink Revolve+,Electronics,Speakers,Bose,22490,27990,4.5,987,82,Portable Bluetooth Speaker with 360° Sound,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,360° Sound|16Hr Battery|Water Resistant|Wireless|Voice Prompts
P017,Roomba j7+ Robot Vacuum,Appliances,Vacuum Cleaners,iRobot,69900,84900,4.6,1765,38,Self-Emptying Robot Vacuum with Smart Mapping,https://images.unsplash.com/photo-1558317374-067fb86c6f7e?w=400,Self-Emptying|Smart Mapping|Obstacle Avoidance|App Control
P018,Microsoft Surface Pro 9,Electronics,Tablets,Microsoft,89900,99900,4.4,1098,44,"13"" Touchscreen i5 8GB RAM 256GB SSD",https://images.unsplash.com/photo-1566762928350-b59e4c6548f7?w=400,"Intel i5|8GB RAM|256GB SSD|13"" Touch|Windows 11"
P019,Ninja Foodi Multi-Cooker,Appliances,Kitchen,Ninja,24990,32990,4.5,2876,67,9-in-1 Pressure Cooker & Air Fryer 6L,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400,9-in-1|Pressure Cook|Air Fry|6L Capacity|Crisping Lid
P020,GoPro HERO11 Black,Electronics,Cameras,GoPro,44990,54990,4.6,1543,72,Action Camera with 5.3K Video and Image Stabilization,https://images.unsplash.com/photo-1606980645935-22a57f8d36ce?w=400,5.3K Video|HyperSmooth 5.0|Waterproof|Night Mode|TimeWarp
