user_id,user_segment,age_group,gender,location,membership_tier,clv_category,account_age_days,preferred_device,product_id,product_name,category,brand,listed_price_inr,interaction_type,interaction_date,interaction_hour,day_of_week,is_weekend,referral_source,session_duration_sec,pages_visited,images_viewed,video_played,compare_flag,browsing_count,scroll_depth_pct,purchase,discount_pct,final_price_inr,payment_method,returned,review_given,rating,satisfaction_score,recommended_flag,rec_algorithm
U00192,tech_enthusiast,35-44,F,Hyderabad,Platinum,Very High,748,Mobile,P212,Iron,Home Appliances,Philips,1799,purchase,2023-12-16,19,Saturday,1,Email Campaign,245,10,1,1,0,11,30,1,0,1799.0,Wallet,0,1,5,8.0,1,Trending
U02532,fitness_freak,45-54,M,Nagpur,Bronze,Low,389,Desktop,P117,Smart Watch,Electronics,Fitbit,14999,view,2022-11-21,6,Monday,0,Social Media,810,26,2,0,0,11,12,0,0,,,0,0,4,,0,
U01481,all_rounder,25-34,F,Mumbai,Silver,Medium,1325,Tablet,P102,"Smart TV 43""",Electronics,LG,32999,wishlist,2023-10-04,0,Wednesday,0,Referral,173,10,9,0,1,13,10,0,0,,,0,1,5,,1,Content-Based
U00176,kitchen_chef,18-24,M,Pune,Gold,High,517,Tablet,P302,Air Fryer 4L,Kitchen Appliances,Philips,4999,wishlist,2024-09-08,23,Sunday,1,Email Campaign,830,7,5,0,0,14,73,0,0,,,0,0,4,,0,
U04043,fitness_freak,25-34,M,Jaipur,Platinum,Very High,1395,Tablet,P206,Microwave 28L,Home Appliances,LG,11999,purchase,2024-10-10,8,Thursday,0,Social Media,406,20,1,0,1,10,39,1,15,10199.15,COD,0,1,3,10.0,1,Hybrid
U04285,kitchen_chef,35-44,F,Nagpur,Gold,High,1592,Mobile,P212,Iron,Home Appliances,Philips,1799,wishlist,2022-07-30,17,Saturday,1,Social Media,530,29,10,1,0,12,85,0,0,,,0,0,4,,1,New Arrival
U02106,tech_enthusiast,18-24,M,Visakhapatnam,Gold,High,207,Smart TV App,P405,Smart Bulb Pack (4),Smart Home,Philips Hue,1999,add_to_cart,2022-03-23,10,Wednesday,0,Push Notification,435,13,2,1,1,6,45,0,0,,,0,0,4,,1,Content-Based
U00622,premium_shopper,35-44,F,Jaipur,Gold,High,432,Desktop,P114,"Tablet 10""",Electronics,Samsung,32999,wishlist,2022-03-10,0,Thursday,0,Direct,162,28,0,1,1,9,68,0,0,,,0,1,5,,0,
U01123,smart_home_lover,25-34,F,Kolkata,Bronze,Low,1043,Mobile,P401,Smart Doorbell,Smart Home,Ring,7999,add_to_cart,2024-05-30,3,Thursday,0,Referral,561,9,5,1,0,2,81,0,0,,,0,1,4,,0,
U00744,home_maker,55+,F,Kolkata,Bronze,Low,170,Desktop,P309,Pressure Cooker 5L,Kitchen Appliances,Hawkins,2499,view,2024-09-17,7,Tuesday,0,Paid Ad,729,12,9,1,0,9,55,0,0,,,0,1,4,,0,
U03945,all_rounder,35-44,F,Visakhapatnam,Silver,Medium,114,Mobile,P208,Robot Vacuum,Home Appliances,iRobot,24999,view,2023-09-02,16,Saturday,1,Direct,170,28,6,1,1,24,18,0,0,,,0,1,5,,0,
U00215,all_rounder,45-54,M,Visakhapatnam,Gold,High,1492,Mobile,P211,Ceiling Fan,Home Appliances,Havells,2499,purchase,2022-04-05,8,Tuesday,0,Organic Search,53,23,3,0,1,12,78,1,30,1749.3,Credit Card,0,0,4,8.0,1,Collaborative Filtering
U04983,smart_home_lover,35-44,F,Bhopal,Silver,Medium,1431,Desktop,P603,Electric Toothbrush,Personal Care,Oral-B,4499,view,2023-06-18,9,Sunday,1,Direct,32,20,7,0,0,7,22,0,0,,,0,0,5,,1,Hybrid
U03570,tech_enthusiast,55+,F,Bhopal,Gold,High,1702,Mobile,P503,Yoga Mat,Fitness,Boldfit,899,view,2024-01-25,12,Thursday,0,Organic Search,145,5,6,1,1,5,82,0,0,,,0,1,4,,0,
U02742,home_maker,18-24,M,Indore,Bronze,Low,1219,Smart TV App,P401,Smart Doorbell,Smart Home,Ring,7999,purchase,2022-11-05,8,Saturday,1,Push Notification,875,16,8,1,0,10,85,1,20,6399.2,COD,0,1,4,9.0,0,
U01296,kitchen_chef,55+,F,Lucknow,Gold,High,810,Desktop,P310,Slow Cooker,Kitchen Appliances,Crock-Pot,3799,view,2023-08-13,7,Sunday,1,Referral,501,2,7,1,0,24,24,0,0,,,0,1,5,,1,Hybrid
U04171,home_maker,55+,F,Chennai,Silver,Medium,364,Tablet,P112,Smartphone Pro,Electronics,Apple,89999,purchase,2023-12-12,20,Tuesday,0,Email Campaign,182,24,2,1,1,20,85,1,20,71999.2,EMI,0,1,4,7.0,0,
U02936,tech_enthusiast,18-24,M,Bhopal,Platinum,Very High,1138,Tablet,P403,Security Camera 1080p,Smart Home,TP-Link,3499,add_to_cart,2023-12-29,12,Friday,0,Push Notification,324,7,2,0,0,1,92,0,0,,,0,1,5,,1,Hybrid
U01126,kitchen_chef,55+,M,Mumbai,Silver,Medium,1198,Desktop,P209,Dishwasher 12-Place,Home Appliances,Bosch,42999,wishlist,2023-06-30,6,Friday,0,Direct,216,13,8,0,1,8,94,0,0,,,0,1,5,,1,Trending
U04037,tech_enthusiast,18-24,M,Pune,Silver,Medium,464,Desktop,P102,"Smart TV 43""",Electronics,LG,32999,wishlist,2022-07-18,7,Monday,0,Email Campaign,628,26,7,1,1,8,93,0,0,,,0,1,5,,0,
U02974,all_rounder,45-54,M,Lucknow,Silver,Medium,1426,Tablet,P604,Facial Steamer,Personal Care,Nova,1599,wishlist,2022-11-05,11,Saturday,1,Social Media,327,5,2,1,0,23,97,0,0,,,0,1,4,,0,
U04510,fitness_freak,55+,M,Lucknow,Gold,High,1500,Tablet,P212,Iron,Home Appliances,Philips,1799,wishlist,2024-08-27,10,Tuesday,0,Referral,257,1,1,1,0,1,68,0,0,,,0,1,2,,1,Collaborative Filtering
U03980,all_rounder,55+,F,Kolkata,Bronze,Low,255,Smart TV App,P309,Pressure Cooker 5L,Kitchen Appliances,Hawkins,2499,add_to_cart,2024-11-11,19,Monday,0,Push Notification,613,24,2,0,0,15,69,0,0,,,0,0,5,,0,
U01942,home_maker,45-54,M,Lucknow,Bronze,Low,598,Mobile,P304,Coffee Maker,Kitchen Appliances,Morphy Richards,5499,wishlist,2022-04-06,14,Wednesday,0,Organic Search,739,17,10,0,0,19,96,0,0,,,0,1,4,,1,New Arrival
U00544,kitchen_chef,25-34,M,Kolkata,Silver,Medium,1800,Mobile,P307,Food Processor,Kitchen Appliances,Inalsa,6999,view,2023-04-11,9,Tuesday,0,Email Campaign,690,8,4,0,0,25,80,0,0,,,0,0,5,,1,Trending
U00726,all_rounder,45-54,F,Ahmedabad,Silver,Medium,326,Desktop,P116,Over-Ear Headphones,Electronics,Sony,8999,view,2024-12-08,21,Sunday,1,Paid Ad,286,10,5,0,0,10,13,0,0,,,0,1,5,,1,Trending
U00958,kitchen_chef,18-24,F,Indore,Bronze,Low,887,Mobile,P310,Slow Cooker,Kitchen Appliances,Crock-Pot,3799,view,2024-07-20,4,Saturday,1,Direct,100,13,8,0,1,2,35,0,0,,,0,0,4,,1,Collaborative Filtering
U04726,smart_home_lover,55+,F,Bangalore,Gold,High,307,Smart TV App,P405,Smart Bulb Pack (4),Smart Home,Philips Hue,1999,add_to_cart,2024-01-09,16,Tuesday,0,Paid Ad,93,4,4,1,0,8,88,0,0,,,0,0,4,,1,Collaborative Filtering
U00464,all_rounder,18-24,F,Bhopal,Bronze,Low,1760,Tablet,P117,Smart Watch,Electronics,Fitbit,14999,purchase,2024-09-23,8,Monday,0,Direct,314,26,9,0,0,11,93,1,0,14999.0,EMI,0,1,4,5.0,1,Collaborative Filtering
U03619,fitness_freak,25-34,F,Ahmedabad,Gold,High,1194,Smart TV App,P203,Refrigerator 260L,Home Appliances,Whirlpool,26999,add_to_cart,2022-12-10,10,Saturday,1,Organic Search,579,7,8,0,0,4,19,0,0,,,0,1,3,,0,
U00671,tech_enthusiast,55+,M,Surat,Silver,Medium,1202,Desktop,P403,Security Camera 1080p,Smart Home,TP-Link,3499,view,2023-05-28,21,Sunday,1,Organic Search,317,7,7,0,0,7,28,0,0,,,0,0,4,,1,Trending
U03711,tech_enthusiast,45-54,F,Visakhapatnam,Silver,Medium,1507,Desktop,P306,Rice Cooker 1.8L,Kitchen Appliances,Panasonic,2199,purchase,2022-03-31,13,Thursday,0,Email Campaign,54,9,0,0,0,21,91,1,10,1979.1,EMI,1,0,3,4.0,0,
U01442,home_maker,45-54,M,Chennai,Bronze,Low,1322,Smart TV App,P309,Pressure Cooker 5L,Kitchen Appliances,Hawkins,2499,view,2022-06-18,8,Saturday,1,Paid Ad,216,1,7,0,0,23,76,0,0,,,0,1,3,,1,Collaborative Filtering
U03724,home_maker,35-44,F,Nagpur,Silver,Medium,1336,Smart TV App,P114,"Tablet 10""",Electronics,Samsung,32999,view,2022-02-08,8,Tuesday,0,Direct,214,29,5,0,1,5,38,0,0,,,0,0,4,,0,
U04770,fitness_freak,45-54,M,Lucknow,Bronze,Low,1546,Tablet,P115,True Wireless Earbuds,Electronics,boAt,4999,purchase,2024-03-16,22,Saturday,1,Email Campaign,316,14,7,0,0,15,48,1,10,4499.1,Debit Card,0,0,4,6.0,1,Collaborative Filtering
U02664,tech_enthusiast,55+,M,Delhi,Bronze,Low,708,Desktop,P305,Toaster Oven,Kitchen Appliances,Bajaj,3499,purchase,2023-01-11,19,Wednesday,0,Social Media,156,18,1,1,0,23,27,1,0,3499.0,Credit Card,1,1,4,1.0,0,
U01617,kitchen_chef,18-24,F,Chennai,Silver,Medium,1384,Smart TV App,P117,Smart Watch,Electronics,Fitbit,14999,add_to_cart,2022-06-21,10,Tuesday,0,Referral,416,20,0,1,0,6,44,0,0,,,0,0,5,,1,Hybrid
U04850,fitness_freak,18-24,F,Mumbai,Silver,Medium,1393,Desktop,P503,Yoga Mat,Fitness,Boldfit,899,view,2024-10-24,16,Thursday,0,Referral,129,8,7,0,1,24,21,0,0,,,0,0,5,,1,Trending
U04274,fitness_freak,45-54,M,Delhi,Bronze,Low,446,Tablet,P402,Smart Lock,Smart Home,Yale,12999,purchase,2023-11-18,5,Saturday,1,Paid Ad,670,17,8,0,0,25,48,1,20,10399.2,Wallet,0,0,3,9.0,1,Collaborative Filtering
U02218,all_rounder,35-44,M,Mumbai,Silver,Medium,500,Tablet,P212,Iron,Home Appliances,Philips,1799,view,2023-09-14,20,Thursday,0,Paid Ad,546,8,4,0,0,18,20,0,0,,,0,1,4,,1,Hybrid
U03968,fitness_freak,45-54,F,Kolkata,Bronze,Low,1647,Desktop,P604,Facial Steamer,Personal Care,Nova,1599,view,2022-08-11,14,Thursday,0,Organic Search,612,5,2,0,0,4,45,0,0,,,0,0,4,,1,Trending
U04444,budget_shopper,45-54,F,Chennai,Gold,High,1138,Mobile,P401,Smart Doorbell,Smart Home,Ring,7999,view,2024-09-15,6,Sunday,1,Paid Ad,156,9,7,1,0,7,12,0,0,,,0,1,4,,1,Collaborative Filtering
U01987,tech_enthusiast,25-34,M,Ahmedabad,Silver,Medium,436,Desktop,P203,Refrigerator 260L,Home Appliances,Whirlpool,26999,add_to_cart,2022-10-02,4,Sunday,1,Direct,207,12,6,0,1,15,70,0,0,,,0,1,4,,1,Trending
U04515,home_maker,35-44,F,Nagpur,Bronze,Low,1670,Tablet,P303,Electric Kettle,Kitchen Appliances,Bajaj,1299,purchase,2022-05-09,11,Monday,0,Social Media,464,15,7,0,0,17,67,1,10,1169.1,UPI,0,1,4,9.0,1,Content-Based
U03063,tech_enthusiast,35-44,M,Delhi,Bronze,Low,50,Desktop,P205,Microwave 20L,Home Appliances,IFB,7999,wishlist,2022-04-17,11,Sunday,1,Paid Ad,21,21,2,1,0,23,82,0,0,,,0,0,4,,1,New Arrival
U00040,kitchen_chef,55+,F,Jaipur,Bronze,Low,1070,Mobile,P204,Refrigerator 500L,Home Appliances,Samsung,54999,add_to_cart,2022-04-07,20,Thursday,0,Paid Ad,879,10,7,1,0,19,63,0,0,,,0,0,3,,1,New Arrival
U02690,premium_shopper,25-34,F,Lucknow,Silver,Medium,292,Smart TV App,P305,Toaster Oven,Kitchen Appliances,Bajaj,3499,wishlist,2023-09-25,3,Monday,0,Referral,263,9,5,0,0,2,99,0,0,,,0,0,4,,1,Content-Based
U00767,kitchen_chef,18-24,M,Surat,Bronze,Low,1740,Desktop,P601,Hair Dryer,Personal Care,Panasonic,2299,add_to_cart,2023-11-22,16,Wednesday,0,Organic Search,72,24,7,1,0,6,26,0,0,,,0,0,4,,0,
U04134,premium_shopper,45-54,F,Ahmedabad,Bronze,Low,524,Tablet,P502,Exercise Bike,Fitness,Cockatoo,18999,view,2023-03-13,13,Monday,0,Push Notification,432,5,5,0,0,17,94,0,0,,,0,1,3,,0,
U01107,home_maker,25-34,M,Lucknow,Silver,Medium,562,Desktop,P307,Food Processor,Kitchen Appliances,Inalsa,6999,view,2024-01-20,17,Saturday,1,Referral,249,27,8,0,0,9,14,0,0,,,0,1,3,,0,
U01523,home_maker,55+,F,Delhi,Gold,High,989,Smart TV App,P306,Rice Cooker 1.8L,Kitchen Appliances,Panasonic,2199,add_to_cart,2023-02-17,9,Friday,0,Organic Search,535,16,10,1,0,10,65,0,0,,,0,0,5,,1,New Arrival
U01177,tech_enthusiast,45-54,M,Kolkata,Gold,High,1775,Tablet,P406,Smart Plug (2-pack),Smart Home,Amazon,1499,view,2023-02-20,6,Monday,0,Push Notification,796,11,10,0,0,6,27,0,0,,,0,1,5,,1,Hybrid
U01817,all_rounder,18-24,M,Chennai,Bronze,Low,222,Smart TV App,P603,Electric Toothbrush,Personal Care,Oral-B,4499,view,2023-12-15,20,Friday,0,Social Media,404,25,9,0,1,14,29,0,0,,,0,0,4,,0,
U02573,fitness_freak,25-34,M,Visakhapatnam,Platinum,Very High,252,Smart TV App,P603,Electric Toothbrush,Personal Care,Oral-B,4499,wishlist,2024-02-10,14,Saturday,1,Paid Ad,734,4,9,0,0,18,22,0,0,,,0,0,4,,0,
U01221,smart_home_lover,45-54,Other,Jaipur,Silver,Medium,32,Smart TV App,P403,Security Camera 1080p,Smart Home,TP-Link,3499,view,2022-12-01,21,Thursday,0,Referral,305,16,10,1,0,8,66,0,0,,,0,0,5,,1,Content-Based
U03672,kitchen_chef,25-34,M,Kolkata,Gold,High,923,Tablet,P307,Food Processor,Kitchen Appliances,Inalsa,6999,view,2023-03-03,7,Friday,0,Email Campaign,103,1,5,1,0,24,16,0,0,,,0,1,4,,0,
U00445,home_maker,18-24,F,Indore,Platinum,Very High,1043,Smart TV App,P113,Smartphone Lite,Electronics,Realme,19999,add_to_cart,2024-07-10,18,Wednesday,0,Push Notification,24,24,10,0,0,25,88,0,0,,,0,1,4,,0,
U00234,tech_enthusiast,18-24,F,Surat,Bronze,Low,329,Desktop,P207,Vacuum Cleaner,Home Appliances,Dyson,6999,wishlist,2022-07-28,19,Thursday,0,Email Campaign,871,14,9,0,0,18,96,0,0,,,0,0,4,,0,
